title,bestSeller,amazonPrime,score,total_reviews,rating,asin,url,brand1,brand2,spec,brand
"Advocate Redi-Code Strips, 50/Box",False,False,711.0,158,4.5,B0070P2Z38,https://www.amazon.com/dp/B0070P2Z38,Advocate,Redi-Code,"Strips, 50/Box",Advocate Redi-Code
"GA/Bionime GE100 Diabetic Test Strips, 100 Count",False,True,733.2,156,4.7,B00UY7GN8C,https://www.amazon.com/dp/B00UY7GN8C,GA/Bionime,GE100,"Diabetic Test Strips, 100 Count",GA/Bionime GE100
CJ542050BX - GLUCOCARD Shine Blood Glucose Test Strip (50 count),False,False,713.0,155,4.6,B071SH4STX,https://www.amazon.com/dp/B071SH4STX,CJ542050BX,-,GLUCOCARD Shine Blood Glucose Test Strip (50 count),CJ542050BX -
"ReliOn 30G Ultra-Thin Lancets, 100-ct | ReliOn Prime Blood Glucose Test Strips, 25-ct | Bundled Set",False,True,629.8,134,4.7,B07P731X7M,https://www.amazon.com/dp/B07P731X7M,ReliOn,30G,"Ultra-Thin Lancets, 100-ct | ReliOn Prime Blood Glucose Test Strips, 25-ct | Bundled Set",ReliOn 30G
"CVS Health Advanced Glucose Meter Test Strips, 200CT …",False,True,625.1,133,4.7,B089MZNBLJ,https://www.amazon.com/dp/B089MZNBLJ,CVS,Health,"Advanced Glucose Meter Test Strips, 200CT …",CVS Health
Diathrive Blood Glucose Test Strips for Diabetes – 4 Second Results from 4 µm Drop of Blood – Diabetic Testing Strips for ...,False,True,615.7,131,4.7,B07K8X1F4Q,https://www.amazon.com/dp/B07K8X1F4Q,Diathrive,Blood,Glucose Test Strips for Diabetes – 4 Second Results from 4 µm Drop of Blood – Diabetic Testing Strips for ...,Diathrive Blood
Embrace Talk Blood Glucose Test Strips 100ct,False,False,609.6,127,4.8,B00YQC8NA2,https://www.amazon.com/dp/B00YQC8NA2,Embrace,Talk,Blood Glucose Test Strips 100ct,Embrace Talk
"NovaMax Glucose Test Strips, Box of 50 Strips",False,True,540.5,115,4.7,B001FQXBHW,https://www.amazon.com/dp/B001FQXBHW,NovaMax,Glucose,"Test Strips, Box of 50 Strips",NovaMax Glucose
Infinity Test Strips - 100 ct.,False,False,469.2,102,4.6,B00548VO44,https://www.amazon.com/dp/B00548VO44,Infinity,Test,Strips - 100 ct.,Infinity Test
"Advocate 313 Redi-Code Test Strips, 50 Count",False,False,444.4,101,4.4,B001AXREMS,https://www.amazon.com/dp/B001AXREMS,Advocate,313,"Redi-Code Test Strips, 50 Count",Advocate 313
Embrace Diabetic Blood Glucose Test Strips 600ct,False,False,465.6,97,4.8,B01AVIDYJY,https://www.amazon.com/dp/B01AVIDYJY,Embrace,Diabetic,Blood Glucose Test Strips 600ct,Embrace Diabetic
"Blood Sugar Test Kit, Diabetes Testing Kit with 100 Test Strips and 100 Lancets, Blood Glucose Monitor Kit ...",False,True,364.0,91,4.0,B09KC4TXZ7,https://www.amazon.com/dp/B09KC4TXZ7,Blood,Sugar,"Test Kit, Diabetes Testing Kit with 100 Test Strips and 100 Lancets, Blood Glucose Monitor Kit ...",Blood Sugar
"Ascensia Contour Next On The Go Blood Glucose Test Strips, 15 Count",False,False,418.6,91,4.6,B095L2PPKW,https://www.amazon.com/dp/B095L2PPKW,Ascensia,Contour,"Next On The Go Blood Glucose Test Strips, 15 Count",Ascensia Contour
"CURO-L7 Professional Grade Blood Cholesterol Test Home KIT (All-in-One : Test Device, Test Strips 10ea, Lancets & EziTube ...",False,True,262.5,75,3.5,B08CZ5K78W,https://www.amazon.com/dp/B08CZ5K78W,CURO-L7,Professional,"Grade Blood Cholesterol Test Home KIT (All-in-One : Test Device, Test Strips 10ea, Lancets & EziTube ...",CURO-L7 Professional
"Oh’Care Lite Blood Sugar Testing Monitor – Glucose Test Strips, Lancets, and Control Solution for for Blood...",False,True,352.8,72,4.9,B07K6K7LJ4,https://www.amazon.com/dp/B07K6K7LJ4,Oh’Care,Lite,"Blood Sugar Testing Monitor – Glucose Test Strips, Lancets, and Control Solution for for Blood...",Oh’Care Lite
Oh’Care Lite Blood Sugar Testing Monitor – Glucose Test Strips and Lancets for for Blood Testing – Accurate and Affordable...,False,True,340.8,71,4.8,B07K6KC8Z4,https://www.amazon.com/dp/B07K6KC8Z4,Oh’Care,Lite,Blood Sugar Testing Monitor – Glucose Test Strips and Lancets for for Blood Testing – Accurate and Affordable...,Oh’Care Lite
