asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B08D284QGM,https://www.amazon.com/dp/B08D284QGM,7180.80,False,False,False,True,"CONTOUR NEXT Blood Glucose Test Strips, 35 Count",https://m.media-amazon.com/images/I/71DTuFVTZ5L._AC_UL320_.jpg,1,33,29,True,14.88,USD,21.99,7.11,32.33,1496,4.8
B014MUOHDE,https://www.amazon.com/dp/B014MUOHDE,4022.40,False,False,False,True,TRUE Metrix Blood Glucose Test Strips(100 Count) with 100 TRUEplus Sterile Lancets 28 Gauge,https://m.media-amazon.com/images/I/71NsziPxdiL._AC_UL320_.jpg,1,34,30,True,22.0,USD,24.0,2.0,8.33,838,4.8
B013UCPRKC,https://www.amazon.com/dp/B013UCPRKC,27576.00,False,False,False,True,"TRUE METRIX Blood Glucose Test Strips, 50 Count",https://m.media-amazon.com/images/I/6127qkwgavL._AC_UL320_.jpg,1,35,31,True,12.5,USD,19.99,7.49,37.47,5745,4.8
B008FOEK9A,https://www.amazon.com/dp/B008FOEK9A,73.50,False,False,False,False,Advocate Redi-Code+ Blood Glucose Test Strips 200 Count,https://m.media-amazon.com/images/I/51lsLr8ZtTL._AC_UL320_.jpg,1,36,32,True,29.99,USD,34.98,4.99,14.27,15,4.9
B07JPYMWYZ,https://www.amazon.com/dp/B07JPYMWYZ,21756.30,False,False,False,True,Dario 100 Blood Glucose No Coding Needed Test Strips Cartridge Set - Only for The Dario All-in-One Lancing Device and Mete...,https://m.media-amazon.com/images/I/61nVnJSJhzL._AC_UL320_.jpg,1,37,33,True,49.9,USD,59.99,10.09,16.82,4629,4.7
B01N14N5VR,https://www.amazon.com/dp/B01N14N5VR,3158.40,False,False,False,False,Easy-Touch Glucose Test Strips 50 Count (2pack),https://m.media-amazon.com/images/I/51lMmoaQnJL._AC_UL320_.jpg,1,38,34,True,18.31,USD,20.5,2.19,10.68,658,4.8
B087NPJX1W,https://www.amazon.com/dp/B087NPJX1W,28358.40,False,False,False,False,Accu-Chek Guide Test Strips for Diabetic Blood Glucose Testing (Pack of 100),https://m.media-amazon.com/images/I/71imFW8YsAL._AC_UL320_.jpg,1,39,35,False,44.99,USD,0.0,0.0,0.0,5908,4.8
B01L2LODVM,https://www.amazon.com/dp/B01L2LODVM,6744.00,False,False,False,False,4 x 50ct TRUE METRIX® NFRS Test Strips (200 Test Strips),https://m.media-amazon.com/images/I/71xY+7zU1CL._AC_UL320_.jpg,1,40,36,False,37.98,USD,0.0,0.0,0.0,1405,4.8
B075F7WVHD,https://www.amazon.com/dp/B075F7WVHD,6628.60,False,False,False,True,"Contour Next ONE Blood Glucose Kit | Contour Next ONE Bluetooth Meter, 50 Contour Next Blood Glucose Test Strips, 50 O'WEL...",https://m.media-amazon.com/images/I/61GJ-QB9R9L._AC_UL320_.jpg,1,41,37,False,44.99,USD,0.0,0.0,0.0,1441,4.6
B075Y4WPXR,https://www.amazon.com/dp/B075Y4WPXR,2622.60,False,False,False,True,"Accu-Chek Guide Test Strips - 50 ct, Pack of 2",https://m.media-amazon.com/images/I/61G5eq5ovGL._AC_UL320_.jpg,1,42,38,True,41.0,USD,44.95,3.95,8.79,558,4.7
B00CHLFWGM,https://www.amazon.com/dp/B00CHLFWGM,2476.80,False,False,False,True,GE100 Test Strips 50ct,https://m.media-amazon.com/images/I/71wMscLGCdL._AC_UL320_.jpg,1,43,39,True,14.0,USD,14.95,0.95,6.35,516,4.8
B005QZ70X4,https://www.amazon.com/dp/B005QZ70X4,1564.80,False,False,False,False,100 EASYMax Blood Glucose Test Strips(2 Boxes of 50),https://m.media-amazon.com/images/I/81gbZOdDZLL._AC_UL320_.jpg,1,44,40,True,17.97,USD,18.99,1.02,5.37,326,4.8
B07Z6LG1W7,https://www.amazon.com/dp/B07Z6LG1W7,1113.60,False,False,False,False,Test Strips for Prodigy Blood Glucose Monitors - 200 Strips,https://m.media-amazon.com/images/I/71ItYMAJx2L._AC_UL320_.jpg,1,45,41,False,26.95,USD,0.0,0.0,0.0,232,4.8
B089MZNBLJ,https://www.amazon.com/dp/B089MZNBLJ,625.10,False,False,False,True,"CVS Health Advanced Glucose Meter Test Strips, 200CT …",https://m.media-amazon.com/images/I/61MDqBnCaHS._AC_UL320_.jpg,1,46,42,True,45.96,USD,49.74,3.78,7.6,133,4.7
B00CJAVTNQ,https://www.amazon.com/dp/B00CJAVTNQ,6878.40,False,False,False,True,CareSens N Blood Glucose Test Strips (50 ct) - Only for CareSens N Family Meter Kits,https://m.media-amazon.com/images/I/61Kn1IzmuXL._AC_UL320_.jpg,1,47,43,False,10.88,USD,0.0,0.0,0.0,1433,4.8
B00D47H9HS,https://www.amazon.com/dp/B00D47H9HS,4339.20,False,False,False,False,Prodigy No Coding Blood Glucose Test Strips 300 Count (50 Strips x 6 Packs),https://m.media-amazon.com/images/I/61KcPAiYeqL._AC_UL320_.jpg,1,48,44,True,36.95,USD,38.99,2.04,5.23,904,4.8
B0000532HH,https://www.amazon.com/dp/B0000532HH,1057.50,False,False,False,True,ACCU-CHEK Instant 50 Test Strips,https://m.media-amazon.com/images/I/51E1V3JEVKL._AC_UL320_.jpg,1,49,45,False,18.4,USD,0.0,0.0,0.0,225,4.7
B008PUEM4C,https://www.amazon.com/dp/B008PUEM4C,2754.20,False,False,False,True,"Evencare Medline G2 Blood Glucose Test Strips, For self-testing with G2 Monitoring System (50 Count)",https://m.media-amazon.com/images/I/71zBYvIhKDL._AC_UL320_.jpg,1,50,46,False,14.54,USD,0.0,0.0,0.0,586,4.7
B078YGC2XQ,https://www.amazon.com/dp/B078YGC2XQ,963.50,False,False,False,False,"FreeStyle Lite Blood Glucose Test Strips - 50 ct, Pack of 8",https://m.media-amazon.com/images/I/71ro3-QOM7L._AC_UL320_.jpg,1,51,47,True,176.66,USD,399.99,223.33,55.83,205,4.7
B06WD5HRM8,https://www.amazon.com/dp/B06WD5HRM8,5322.20,False,False,False,True,"Easy Touch Eas-150 Easytouch Glucose Test Strip, 150 Count (Pack of 150)",https://m.media-amazon.com/images/I/51wBoCNWj3L._AC_UL320_.jpg,1,52,48,False,27.55,USD,0.0,0.0,0.0,1157,4.6
B00NOKWZLK,https://www.amazon.com/dp/B00NOKWZLK,7896.00,False,False,False,True,On Call Express Blood Glucose Test Strips (50 Count),https://m.media-amazon.com/images/I/61PiP7cEYBL._AC_UL320_.jpg,1,53,49,False,9.85,USD,0.0,0.0,0.0,1680,4.7
B088JJJKQY,https://www.amazon.com/dp/B088JJJKQY,138.00,False,False,False,False,EasyMax Diabetic Test Strips 300 Count / 6 Boxes of 50,https://m.media-amazon.com/images/I/51GlfgRxv6L._AC_UL320_.jpg,1,54,50,False,53.0,USD,0.0,0.0,0.0,30,4.6
B077JKHRJ5,https://www.amazon.com/dp/B077JKHRJ5,828.80,False,False,False,True,Sponsored Ad - Uric Acid Test Strips - Track What Foods and Dietary Supplements Elevate and Lower inflammatory Uric Acid. ...,https://m.media-amazon.com/images/I/713WIBXyLQL._AC_UL320_.jpg,1,56,52,False,24.95,USD,0.0,0.0,0.0,224,3.7
B09FJND82M,https://www.amazon.com/dp/B09FJND82M,11884.50,False,False,False,True,"Sponsored Ad - Metene TD-4116 Blood Glucose Monitor Kit, 100 Glucometer Strips, 100 Lancets, 1 Blood Sugar Monitor, Blood ...",https://m.media-amazon.com/images/I/81vazZ0t8EL._AC_UL320_.jpg,1,57,53,False,29.99,USD,0.0,0.0,0.0,2641,4.5
B07Z9N65F8,https://www.amazon.com/dp/B07Z9N65F8,6903.00,False,False,False,False,Sponsored Ad - Accu-Chek Guide Me Meter for Diabetic Blood Glucose Testing,https://m.media-amazon.com/images/I/61breBqKsXL._AC_UL320_.jpg,1,58,54,True,13.98,USD,14.99,1.01,6.74,1534,4.5
