asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B071RYXFG8,https://www.amazon.com/dp/B071RYXFG8,13161.60,False,False,False,True,Sponsored Ad - Care Touch Multi Colored Diabetic Lancets 30 Gauge - Lancets for Diabetes Testing and Blood Testing (200 Co...,https://m.media-amazon.com/images/I/61qjaPBkKoL._AC_UL320_.jpg,1,3,3,True,0,USD,11.99,11.99,100,2742,4.8
B09KC4TXZ7,https://www.amazon.com/dp/B09KC4TXZ7,364.00,False,False,False,True,"Sponsored Ad - Blood Sugar Test Kit, Diabetes Testing Kit with 100 Test Strips and 100 Lancets, Blood Glucose Monitor Kit ...",https://m.media-amazon.com/images/I/71fj8T3pULL._AC_UL320_.jpg,1,4,4,False,0,USD,0.0,0.0,0,91,4.0
B08FV1SVSW,https://www.amazon.com/dp/B08FV1SVSW,7595.20,False,False,False,True,The CONTOUR NEXT ONE Blood Glucose Monitoring System All-in-One Kit for Diabetes,https://m.media-amazon.com/images/I/81wt62hu8kL._AC_UL320_.jpg,1,5,5,False,0,USD,0.0,0.0,0,1616,4.7
B084WN1HK7,https://www.amazon.com/dp/B084WN1HK7,12019.50,False,False,False,True,"Oh’Care Lite Blood Sugar Test Kit – Blood Glucose Meter with Strips and Lancets, Lancing Device, Log, and Case - One Touch...",https://m.media-amazon.com/images/I/71+S7486yEL._AC_UL320_.jpg,1,6,6,False,0,USD,0.0,0.0,0,2671,4.5
B009B7SK8M,https://www.amazon.com/dp/B009B7SK8M,1917.60,False,False,False,False,The CONTOUR NEXT EZ Blood Glucose Monitoring System,https://m.media-amazon.com/images/I/812K0kH7A4L._AC_UL320_.jpg,1,7,7,True,0,USD,18.99,18.99,100,408,4.7
B094DRQ926,https://www.amazon.com/dp/B094DRQ926,784.90,False,False,False,False,OneTouch Verio Test Strips for Diabetes Value Pack - 180 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Se...,https://m.media-amazon.com/images/I/71gbpZ72bwL._AC_UL320_.jpg,1,8,8,True,0,USD,99.99,99.99,100,167,4.7
B08G5BZQVL,https://www.amazon.com/dp/B08G5BZQVL,24088.50,False,False,False,True,KETO-MOJO GK+ Bluetooth Glucose & Ketone Testing Kit + Free APP for Ketosis & Diabetes Management. 20 Blood Test Strips (1...,https://m.media-amazon.com/images/I/71+EykbqwNL._AC_UL320_.jpg,1,9,9,False,0,USD,0.0,0.0,0,5353,4.5
B006PECJ0E,https://www.amazon.com/dp/B006PECJ0E,2916.40,False,False,False,True,"Accu-Chek Aviva Plus NFR Test Strips, 50 Count",https://m.media-amazon.com/images/I/617qmTL+-KL._AC_UL320_.jpg,1,10,10,True,0,USD,69.99,69.99,100,634,4.6
B06XD7NG87,https://www.amazon.com/dp/B06XD7NG87,2371.20,False,False,False,False,"McKesson TRUE METRIX Self-Monitoring Blood Glucose Test Strips, 50 Strips, 1 Pack",https://m.media-amazon.com/images/I/71mtYMukNEL._AC_UL320_.jpg,1,11,11,True,0,USD,16.73,16.73,100,494,4.8
B07K36LM21,https://www.amazon.com/dp/B07K36LM21,6297.40,False,False,False,True,"Sidekick All-in-One Glucose Meter Kit – Built in Meter, 50 Test Strips, Lancing Device, 10 Lancets, Control Solution, and ...",https://m.media-amazon.com/images/I/91jo8HPYGOL._AC_UL320_.jpg,1,12,12,False,0,USD,0.0,0.0,0,1369,4.6
